iter	Passed	Remaining
876	6426	901
877	6442	895
878	6445	887
879	6456	880
880	6462	872
881	6476	866
882	6481	858
883	6490	851
884	6496	844
885	6509	837
886	6516	830
887	6522	822
888	6534	815
889	6553	810
890	6558	802
891	6573	795
892	6576	788
893	6591	781
894	6605	774
895	6610	767
896	6629	761
897	6646	754
898	6659	748
899	6668	740
900	6679	733
901	6688	726
902	6695	719
903	6702	711
904	6709	704
905	6713	696
906	6725	689
907	6730	681
908	6744	675
909	6748	667
910	6761	660
911	6765	652
912	6771	645
913	6776	637
914	6780	629
915	6783	622
916	6787	614
917	6793	606
918	6799	599
919	6814	592
920	6819	584
921	6825	577
922	6830	569
923	6836	562
924	6840	554
925	6845	547
926	6849	539
927	6865	532
928	6869	525
929	6876	517
930	6881	509
931	6884	502
932	6896	495
933	6901	487
934	6905	480
935	6917	472
936	6920	465
937	6928	457
938	6935	450
939	6939	442
940	6952	435
941	6956	428
942	6964	420
943	6968	413
944	6975	405
945	6978	398
946	6992	391
947	7005	384
948	7011	376
949	7019	369
950	7025	362
951	7030	354
952	7038	347
953	7041	339
954	7046	332
955	7049	324
956	7054	316
957	7060	309
958	7064	302
959	7069	294
960	7081	287
961	7087	279
962	7094	272
963	7097	265
964	7101	257
965	7107	250
966	7112	242
967	7115	235
968	7119	227
969	7124	220
970	7129	212
971	7132	205
972	7135	198
973	7145	190
974	7149	183
975	7164	176
976	7167	168
977	7182	161
978	7185	154
979	7196	146
980	7215	139
981	7220	132
982	7226	124
983	7231	117
984	7235	110
985	7239	102
986	7243	95
987	7251	88
988	7255	80
989	7260	73
990	7270	66
991	7274	58
992	7278	51
993	7286	43
994	7289	36
995	7293	29
996	7313	22
997	7323	14
998	7328	7
999	7345	0
